gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0038542,Bijan Robinson,RB,ATL,71.0,215.0,22.9,Texas,00-0038542,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,304,1456.0,14,1.0,0.0,82.0,16.883539606789647,1,61,72,431.0,1,0.0,0.0,-21.0,531.0,20.0,7.648418742303209,0,-36.7466940902235,2.3934716643451286,-0.24549566476325832,3.4183605311834118,0.0,280.7,341.7,17,0.12880143112701253,-0.004702194357366771,0.27119509703779365,0.18944039120462539,0.10063039925286014,0.047619047619047616,0.10101010101010101,0.0958904109589041,0.07412472343595389,0.09002812892609766,0.7710196779964222,0.23252490609178506
00-0038555,Tank Bigsby,RB,JAC,71.0,215.0,23.4,Auburn,00-0038555,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,168,766.0,7,3.0,1.0,39.0,-0.8408931505243302,0,7,12,54.0,0,0.0,0.0,-13.0,64.0,1.0,-2.849544583586976,0,-21.416666666666668,0.40159230984216643,-0.0065393139081224225,0.597810945027564,0.0,122.0,129.0,15,0.024640657084188913,-0.0033600413543551306,0.04012539184952978,0.03427295254279926,0.016076213158678177,0.0,0.006329113924050633,0.005649717514124294,0.008038106579339089,0.012860970526942543,0.11088295687885011,0.10942775223521027
00-0038597,Chase Brown,RB,CIN,70.0,210.0,24.8,Illinois,00-0038597,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,229,990.0,7,2.0,1.0,49.0,-5.85863272827405,1,54,65,360.0,4,0.0,0.0,53.0,326.0,23.0,9.818895294484077,0,23.220079769315763,1.716828088769011,0.14587016276839213,2.677351247091391,0.0,201.0,255.0,16,0.10726072607260725,0.011977401129943503,0.15741187831965234,0.17047301001286566,0.07756948933419522,0.09523809523809523,0.09663865546218488,0.09642857142857143,0.08640379228614523,0.08110321051497522,0.594059405940594,0.15166474359736876
00-0038794,Jaleel McLaughlin,RB,DEN,67.0,187.0,24.3,Youngstown State,00-0038794,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,113,496.0,1,0.0,0.0,25.0,-0.9885519364324864,0,24,27,76.0,2,1.0,1.0,-109.0,167.0,3.0,-11.26463073791448,0,-31.105483405483405,0.8394192189293515,-0.5284207387771789,0.889234311250002,0.0,73.2,97.2,16,0.0509433962264151,-0.02716172439571393,0.08978494623655914,0.05468571482305151,0.021438645980253877,0.07142857142857142,0.0189873417721519,0.026881720430107527,0.046433608704412654,0.03143663106991739,0.14339622641509434,0.07285810658871149
00-0038797,Emanuel Wilson,RB,GBP,70.0,226.0,25.7,Fort Valley State,00-0038797,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,103,502.0,4,0.0,0.0,27.0,9.20893033756883,0,11,14,48.0,1,0.0,0.0,-63.0,99.0,3.0,-3.5111703557152856,0,-5.225396825396825,0.5001859435836515,-0.2825995611190681,0.5524592225921297,0.0,85.0,96.0,17,0.029227557411273485,-0.015046572725101504,0.05134854771784232,0.031804077936829024,0.012185833968012186,0.03571428571428571,0.017543859649122806,0.020100502512562814,0.02395005984114895,0.01689152431726689,0.10020876826722339,0.06386970580016767
00-0039040,De'Von Achane,RB,MIA,69.0,188.0,23.2,Texas A&M,00-0039040,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,203,907.0,6,0.0,0.0,37.0,-11.281631010235287,0,78,87,592.0,6,1.0,0.0,-35.0,665.0,30.0,23.8639774751283,0,-9.79327498588368,2.595917248796115,-0.250287285453636,3.718674773376627,0.0,221.9,299.9,17,0.14720812182741116,-0.009431420102398275,0.3009049773755656,0.21326704665919813,0.1466798810703667,0.2727272727272727,0.13574660633484162,0.14814814814814814,0.2097035768988197,0.1718893594017479,1.0016920473773265,0.21126562125759046
00-0039139,Jahmyr Gibbs,RB,DET,69.0,202.0,22.8,Alabama,00-0039139,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,250,1412.0,16,0.0,0.0,70.0,35.06442361974041,0,52,63,497.0,3,1.0,1.0,-11.0,573.0,25.0,14.967730785883788,0,85.72222222222221,1.9376430910560551,0.05731397396977766,2.946584418362927,0.0,302.9,354.9,17,0.11433756805807622,-0.0031545741324921135,0.21468714874484826,0.16898269278112066,0.10534124629080119,0.07692307692307693,0.10330578512396695,0.099644128113879,0.09113216160693906,0.09965761241725635,0.9019963702359347,0.19242864578814953
00-0039165,Zach Charbonnet,RB,SEA,73.0,214.0,24.0,UCLA,00-0039165,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,135,569.0,8,0.0,0.0,32.0,-11.281588777757774,0,42,52,308.0,1,0.0,0.0,-54.0,345.0,7.0,-7.442102621267638,0,-62.24801587301587,1.5953256604259698,-0.354304562700461,2.144975296748632,0.0,141.70000000000002,183.70000000000002,17,0.08768971332209106,-0.013125911521633447,0.1576782449725777,0.12103384076582983,0.07033569308061201,0.047619047619047616,0.03317535545023697,0.034482758620689655,0.05897737034982981,0.06579236398829913,0.5193929173693086,0.12534457818171896
00-0039361,Bucky Irving,RB,TBB,70.0,195.0,22.4,Oregon,00-0039361,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,207,1122.0,8,2.0,1.0,52.0,20.879305200389354,0,47,52,392.0,0,0.0,0.0,-159.0,528.0,16.0,15.518046194164771,0,-23.07889574193922,1.5511855506949717,-0.8033504590546618,1.7644330047041943,0.0,197.4,244.4,17,0.09106830122591944,-0.04007056451612903,0.21577441765427052,0.10454600022597592,0.08701442841287459,0.0,0.07142857142857142,0.06037735849056604,0.04350721420643729,0.06961154273029967,0.6865148861646234,0.13875326444873395
00-0039384,Tyrone Tracy,RB,NYG,71.0,210.0,25.1,Purdue,00-0039384,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,192,839.0,5,2.0,2.0,39.0,-20.713866294837892,0,38,53,284.0,1,2.0,0.0,18.0,281.0,13.0,-4.922650759108365,0,-48.28791208791209,1.5682277572584575,0.08724959720489549,2.413416353931113,0.0,144.3,182.3,17,0.08967851099830795,0.004478726051256532,0.16177317213586645,0.13810074733846717,0.08065890372053394,0.06666666666666667,0.07647058823529412,0.07567567567567568,0.07366278519360031,0.07786045630976049,0.4805414551607445,0.14734408845494812
00-0039794,Braelon Allen,RB,NYJ,73.0,235.0,21.0,Wisconsin,00-0039794,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,92,334.0,2,0.0,0.0,22.0,-7.616423593426589,0,19,27,148.0,1,0.0,0.0,-5.0,163.0,8.0,4.739825129858218,0,51.06212121212121,0.760633119430171,-0.018809286452301493,1.1277831786286454,0.0,66.2,85.2,17,0.044481054365733116,-0.0012138868657441126,0.0745313214449017,0.06575047205600437,0.036852589641434265,0.03225806451612903,0.03980099502487562,0.03879310344827586,0.034555327078781645,0.035933684616373224,0.24382207578253706,0.05878537817213352
00-0039875,Ray Davis,RB,BUF,68.0,220.0,25.2,Kentucky,00-0039875,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,113,442.0,3,0.0,0.0,25.0,-5.586368469577843,0,17,19,189.0,3,0.0,0.0,16.0,164.0,8.0,14.878928111167625,0,61.24801587301587,0.7074768283421013,0.07007482980932495,1.1102676233796793,0.0,99.1,116.1,16,0.039337474120082816,0.004219409282700422,0.08191808191808192,0.06238173860628456,0.05255839822024472,0.1111111111111111,0.04790419161676647,0.05670103092783505,0.08183475466567791,0.064268940798418,0.391304347826087,0.08015520145812045
00-0029892,Kyle Juszczyk,RB,SFO,74.0,235.0,33.7,Harvard,00-0029892,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,26.0,1,1.0,1.0,1.0,-7.2900504331919365,0,19,31,200.0,2,0.0,0.0,193.0,93.0,8.0,-0.08475676236146112,0,28.25010486825003,0.9939327731207598,0.703346128494341,1.9832414496271782,0.0,38.6,57.6,14,0.07192575406032482,0.05356647238412434,0.061386138613861385,0.15074180899778672,0.054274084124830396,0.1,0.04790419161676647,0.053475935828877004,0.0771370420624152,0.06341926729986433,0.46403712296983757,0.04585257124661678
00-0030578,Cordarrelle Patterson,RB,PIT,74.0,220.0,33.8,Tennessee,00-0030578,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,32,135.0,0,1.0,1.0,7.0,-7.84534724344177,0,12,14,80.0,1,0.0,0.0,42.0,56.0,5.0,-3.486692914913874,0,7.207422969187675,0.46612090866123124,0.21129763922294104,0.8470897104479056,0.0,25.500000000000004,37.5,13,0.035897435897435895,0.014428031604259704,0.042682926829268296,0.06538857912956161,0.02888086642599278,0.0625,0.04132231404958678,0.043795620437956206,0.04569043321299639,0.03560469314079423,0.20512820512820512,0.03802088614011964
00-0031595,Michael Burton,RB,DEN,72.0,247.0,32.9,Rutgers,00-0031595,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,8.0,1,0.0,0.0,3.0,-1.0444718406361062,0,10,10,65.0,1,0.0,0.0,24.0,41.0,3.0,4.411656428244896,0,10.980392156862745,0.29270398461187935,0.08874076787421555,0.5011745144297699,0.0,19.3,29.3,11,0.026246719160104987,0.008698803914461761,0.02744310575635877,0.046329121871726886,0.024546827794561934,0.05,0.025210084033613446,0.02877697841726619,0.03727341389728097,0.029637462235649552,0.17060367454068243,0.030327495549207138
00-0031687,Raheem Mostert,RB,MIA,70.0,205.0,32.8,Purdue,00-0031687,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,85,278.0,2,2.0,2.0,13.0,-30.199422105800323,0,19,23,161.0,0,0.0,0.0,14.0,146.0,10.0,11.992758106391799,0,17.151797385620913,0.6966879031229072,0.06890680574963634,1.0932666187091062,0.0,51.900000000000006,70.9,12,0.05609756097560976,0.005695687550854353,0.09001233045622688,0.08870289150409812,0.05419050824638169,0.0,0.06172839506172839,0.05555555555555555,0.027095254123190846,0.043352406597105354,0.3926829268292683,0.06697904661137039
00-0032104,Ameer Abdullah,RB,LVR,69.0,203.0,31.6,Nebraska,00-0032104,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,66,311.0,2,1.0,1.0,14.0,-7.581538221371561,0,40,47,261.0,3,0.0,0.0,31.0,252.0,16.0,11.852883492729346,0,20.74117216117216,1.2987846248555968,0.12517573144690486,2.0357999492962287,0.0,85.2,125.2,13,0.09437751004016064,0.008882521489971347,0.15309842041312272,0.148672282252218,0.07911488329796908,0.1875,0.09580838323353294,0.10382513661202186,0.13330744164898453,0.10079190663837527,0.5240963855421686,0.11831859076132153
