gsis_id,name,position,team,height,weight,age,college,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0034351,Dallas Goedert,TE,PHI,77.0,256.0,30.0,South Dakota State,00-0034351,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,42,52,496.0,2,2.0,0.0,343.0,257.0,20.0,19.366237246305353,0,10.478170252474355,1.9282225945724814,1.724581425889736,4.0995408899815375,0.0,61.599999999999994,103.6,10,0.17993079584775087,0.15576748410535876,0.23174030658250677,0.39451018105591334,0.226691042047532,0.16666666666666666,0.19230769230769232,0.1896551724137931,0.1966788543570993,0.21468616697135892,1.7162629757785468,0.11971066071965056
00-0034364,Jordan Akins,TE,CLE,76.0,245.0,32.7,UCF,00-0034364,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,40,58,390.0,2,1.0,0.0,339.0,187.0,20.0,10.99355982258735,0,15.877984767170814,1.587244049032338,1.1799370120580668,3.2068219819891537,0.0,51.0,91.0,16,0.09090909090909091,0.06767817927730085,0.11805555555555555,0.19050617978547704,0.10509296685529507,0.10526315789473684,0.11560693641618497,0.11458333333333333,0.10517806237501595,0.10512700506318343,0.6112852664576802,0.07318995608602634
00-0034383,Dalton Schultz,TE,HOU,77.0,242.0,28.5,Stanford,00-0034383,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,53,85,532.0,2,0.0,0.0,684.0,214.0,26.0,3.325906318572656,0,15.099442536645642,2.6284791632122793,2.643637075082471,5.793264697376148,0.0,65.2,118.2,17,0.14912280701754385,0.1470019342359768,0.12207644038790645,0.3412857579150972,0.1346153846153846,0.1,0.1319796954314721,0.12903225806451613,0.11730769230769231,0.12769230769230772,0.9333333333333333,0.08722088578638999
00-0034753,Mark Andrews,TE,BAL,77.0,250.0,29.3,Oklahoma,00-0034753,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,5.0,0,0.0,0.0,3.0,3.4461851362721063,0,55,69,673.0,11,0.0,0.0,731.0,188.0,39.0,50.098964800592256,0,17.987759824296184,2.543549252404149,3.0634046423144348,5.959707128226328,0.0,133.8,188.8,17,0.14465408805031446,0.17563671311869294,0.09012464046021093,0.357490502570426,0.16065886846502744,0.2682926829268293,0.19597989949748743,0.20833333333333334,0.21447577569592835,0.1821856313573878,1.4109014675052411,0.10854567197129979
00-0034829,Mike Gesicki,TE,CIN,78.0,245.0,29.3,Penn State,00-0034829,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,65,83,665.0,2,1.0,1.0,615.0,245.0,38.0,33.76757545628534,0,13.696999317610276,2.107933353648174,2.3259237680878777,4.790046668133775,0.0,76.5,141.5,16,0.1330128205128205,0.1379542395693136,0.117168818747011,0.3098826224246817,0.14118895966029724,0.046511627906976744,0.15637860082304528,0.13986013986013987,0.09385029378363699,0.12225349330963314,1.0657051282051282,0.08315214197567139
00-0035229,T.J. Hockenson,TE,MIN,77.0,245.0,27.5,Iowa,00-0035229,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,41,62,455.0,0,0.0,0.0,520.0,145.0,30.0,9.4577888110629,0,9.198034340549706,1.813190904277233,1.8363087091958867,4.00520245285297,0.0,45.5,86.5,10,0.17318435754189945,0.1803676725633021,0.12329931972789115,0.40407067436349087,0.1657559198542805,0.0,0.21739130434782608,0.18867924528301888,0.08287795992714025,0.13260473588342442,1.270949720670391,0.09145696764643688
00-0035644,Noah Fant,TE,SEA,76.0,249.0,27.1,Iowa,00-0035644,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,48,64,500.0,1,0.0,0.0,339.0,277.0,25.0,6.513732459180895,0,15.919625507860802,2.036270453594131,1.4116502623069724,4.042560864006077,0.0,56.0,104.0,14,0.12903225806451613,0.1029143897996357,0.15329275041505258,0.27587989893648274,0.1412030499858797,0.058823529411764705,0.14285714285714285,0.13541666666666666,0.1000132896988222,0.12472714587105671,1.0080645161290323,0.0858340761282229
00-0036040,Juwan Johnson,TE,NOS,76.0,231.0,28.3,Oregon,00-0036040,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,50,66,548.0,3,2.0,0.0,547.0,212.0,27.0,18.764570713421563,0,19.025279908004944,2.039722934282313,2.154249699481575,4.567559191060572,0.0,72.80000000000001,122.80000000000001,15,0.12941176470588237,0.13247759748123034,0.12825166364186327,0.30009972504380783,0.16382660687593423,0.16666666666666666,0.17763157894736842,0.17647058823529413,0.16524663677130044,0.1643946188340807,1.0745098039215686,0.10435078178110131
00-0036244,Colby Parkinson,TE,LAR,79.0,265.0,26.0,Stanford,00-0036244,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,30,49,294.0,1,0.0,0.0,263.0,160.0,15.0,3.1986356199332215,0,24.50055640988961,1.5539585822641855,1.0701017535429866,3.080009100876369,0.0,35.4,65.4,15,0.1044776119402985,0.0778567199526347,0.09248554913294797,0.21900179387255553,0.08388017118402283,0.05,0.09202453987730061,0.08743169398907104,0.06694008559201142,0.07710413694721827,0.6268656716417911,0.052852755778244706
00-0036290,Cole Kmet,TE,CHI,78.0,260.0,25.8,Notre Dame,00-0036290,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,55,474.0,4,0.0,0.0,393.0,181.0,25.0,27.909952066424175,1,18.02022751751317,1.6462208580424864,1.5743818638721694,3.571398591774248,0.0,73.4,120.4,14,0.11627906976744186,0.10279884907140989,0.1124922311995028,0.2566576839082907,0.15424666449723398,0.2222222222222222,0.1724137931034483,0.17791411042944785,0.1882344433597281,0.16784177604223163,1.0021141649048626,0.10611482258377253
00-0036637,Noah Gray,TE,KCC,75.0,240.0,25.7,Duke,00-0036637,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-4.0,0,0.0,0.0,0.0,-1.4838600812945515,0,40,49,437.0,5,0.0,0.0,309.0,210.0,25.0,23.17624328713282,0,18.791622678878056,1.4736033145296712,1.3032638177706002,3.122689644233927,0.0,73.3,113.3,16,0.08521739130434783,0.08346839546191248,0.09379187137114783,0.19460080332605173,0.11219512195121951,0.20833333333333334,0.1179245283018868,0.1271186440677966,0.16026422764227644,0.1314227642276423,0.76,0.08073250676927461
00-0036894,Pat Freiermuth,TE,PIT,77.0,258.0,26.2,Penn State,00-0036894,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,65,78,653.0,7,3.0,2.0,477.0,279.0,32.0,35.90123255502623,0,27.45430286427594,2.881395044126521,2.397727606769749,6.000501890928605,0.0,103.3,168.3,17,0.156312625250501,0.1208819057273188,0.16929611650485438,0.3311744624576065,0.18103687274743555,0.3333333333333333,0.20253164556962025,0.21787709497206703,0.25718510304038444,0.2114961648646151,1.308617234468938,0.12839683242039093
00-0036970,Kyle Pitts,TE,ATL,78.0,250.0,24.3,Florida,00-0036970,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,47,74,602.0,4,0.0,0.0,623.0,272.0,21.0,6.943506225681472,0,24.653639513866743,2.363851812879041,2.551406814166145,5.331762489234863,0.0,84.2,131.2,17,0.13237924865831843,0.13949843260188088,0.13891726251276812,0.3101676190689824,0.14055568526733597,0.19047619047619047,0.10606060606060606,0.1141552511415525,0.16551593787176322,0.1505397863091069,1.0769230769230769,0.0892808536120638
00-0037744,Trey McBride,TE,ARI,76.0,246.0,25.1,Colorado State,00-0037744,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,2.0,1,0.0,0.0,1.0,0.6010563303134404,0,111,147,1146.0,2,0.0,0.0,902.0,513.0,63.0,49.07139341937156,0,21.92788323965167,4.583184962912161,4.262653291128686,9.858634748158321,0.0,132.8,243.8,16,0.2821497120921305,0.253513209668353,0.2684458398744113,0.6260351358728782,0.3083131557707829,0.1,0.3387096774193548,0.3155339805825243,0.20415657788539143,0.2666505246166263,2.199616122840691,0.17649017649017648
00-0037809,Chigoziem Okonkwo,TE,TEN,75.0,238.0,25.3,Maryland,00-0037809,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,17.0,0,0.0,0.0,1.0,1.0823608972132206,0,52,70,479.0,2,2.0,1.0,415.0,249.0,20.0,-8.388308787032997,1,43.08570471295846,2.256789644741961,1.7612312938181631,4.618046372785655,0.0,61.6,113.60000000000001,16,0.1388888888888889,0.10437625754527163,0.16689008042895442,0.29183433936955067,0.14188388625592416,0.09523809523809523,0.12903225806451613,0.125,0.1185609907470097,0.13255472805235838,0.9503968253968254,0.09549107292962576
00-0037838,Isaiah Likely,TE,BAL,76.0,247.0,24.7,Coastal Carolina,00-0037838,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,42,58,477.0,6,1.0,1.0,467.0,256.0,26.0,27.70649973336768,0,62.80896073771333,1.9979127205035245,1.9492971383901934,4.361377077628422,0.0,81.7,123.7,15,0.13744075829383887,0.12652397724193987,0.13897937024972856,0.3073803192343102,0.12815690488984416,0.17142857142857143,0.1452513966480447,0.14953271028037382,0.1497927381592078,0.1368112381975896,1.1303317535545023,0.0812810471259232
00-0038041,Jake Ferguson,TE,DAL,77.0,244.0,26.0,Wisconsin,00-0038041,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,59,86,494.0,0,4.0,2.0,360.0,309.0,18.0,-12.711065217071749,0,20.573224709978362,2.4325166331107164,1.3201006976369423,4.572845438011934,0.0,45.400000000000006,104.4,14,0.16318785578747627,0.09287925696594428,0.18910648714810283,0.31908518925396984,0.14741868099074903,0.0,0.11464968152866242,0.10227272727272728,0.07370934049537452,0.11793494479259924,0.937381404174573,0.09316936477055707
00-0038129,Cade Otton,TE,TBB,77.0,247.0,25.7,Washington,00-0038129,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,-4.0,0,0.0,0.0,0.0,-1.3158101737499237,0,59,87,600.0,4,2.0,1.0,471.0,311.0,31.0,12.532692278894636,0,20.22186164596879,2.581190935992784,2.217789512025847,5.424239062407269,0.0,81.60000000000001,140.6,14,0.1875,0.1551383399209486,0.14781368821292776,0.4053606719367589,0.16565433462175594,0.125,0.17032967032967034,0.16355140186915887,0.14532716731087797,0.15752346769740475,1.293103448275862,0.10005123534099966
00-0038933,Dalton Kincaid,TE,BUF,76.0,240.0,25.2,Utah,00-0038933,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,44,75,448.0,2,1.0,0.0,573.0,274.0,23.0,14.806048939535463,0,18.79612347969491,2.6253173016666267,2.3793693328498886,5.603534485494862,0.0,56.800000000000004,100.8,13,0.19083969465648856,0.18047244094488188,0.16407185628742516,0.4306374947406384,0.1467409105797576,0.08695652173913043,0.16428571428571428,0.15337423312883436,0.11684871615944402,0.13478403281163218,1.1399491094147582,0.08437123342707914
